id,budget,revenue,popularity,vote_average,release_year,if_novels
11683,15000000,46770602,0.694404,5.8,2005,Not base on novel
10040,0,0,0.685198,5.3,2005,Not base on novel
10070,0,658573,0.681346,5.8,2005,Not base on novel
69,28000000,186438883,0.681157,7.0,2005,Not base on novel
9043,0,0,0.67686,6.2,2005,Not base on novel
8976,30000000,42886719,0.665701,6.5,2005,Not base on novel
10060,40000000,46442528,0.664688,6.5,2005,Not base on novel
9981,45000000,56070433,0.663861,5.8,2005,Not base on novel
14517,4000000,866999,0.663398,6.5,2005,Not base on novel
10012,35000000,19294901,0.661616,5.0,2005,Not base on novel
8066,50000000,8342132,0.661473,6.4,2005,Not base on novel
13374,25000000,27645491,0.643145,5.8,2005,Not base on novel
9291,82000000,190320568,0.636922,6.2,2005,Not base on novel
7553,3000000,18637690,0.635843,6.0,2005,Not base on novel
11637,32000000,97918663,0.635481,5.4,2005,Not base on novel
10077,80000000,5989640,0.6269,4.8,2005,Not base on novel
7515,0,0,0.622677,5.7,2005,Not base on novel
9753,9000000,0,0.613793,4.4,2005,Not base on novel
791,18000000,46201432,0.608364,4.2,2005,Not base on novel
10048,135000000,76932943,0.606286,5.0,2005,Not base on novel
6961,15000000,47175038,0.600522,6.2,2005,Base on novel
168705,25000000,2405420,0.592369,3.8,2005,Not base on novel
9912,25000000,0,0.587776,7.1,2005,Not base on novel
9681,0,37691644,0.578189,6.2,2005,Not base on novel
7364,130000000,119269486,0.571693,5.6,2005,Not base on novel
9515,10000000,17297244,0.564298,6.0,2005,Not base on novel
398,7000000,49084830,0.561685,6.7,2005,Base on novel
14175,35000000,19478106,0.558258,5.3,2005,Not base on novel
1985,25000000,82466670,0.55197,6.7,2005,Not base on novel
1544,0,2455831,0.548181,6.7,2005,Not base on novel
2652,950000,7022209,0.548166,6.8,2005,Not base on novel
10066,40000000,68766121,0.543159,5.3,2005,Not base on novel
13922,80000000,10166502,0.538043,6.5,2005,Not base on novel
9923,50000000,22944502,0.534781,6.1,2005,Not base on novel
20077,0,0,0.527458,6.0,2005,Not base on novel
18500,0,0,0.516803,5.1,2005,Not base on novel
9074,0,12382362,0.510683,5.2,2005,Not base on novel
14199,50000000,69425966,0.509129,4.3,2005,Not base on novel
15657,0,0,0.506241,5.9,2005,Not base on novel
15487,25000000,15431177,0.500883,7.0,2005,Not base on novel
16553,0,1117920,0.499926,7.0,2005,Not base on novel
10064,0,0,0.499629,5.6,2005,Not base on novel
10292,3500000,0,0.498926,5.0,2005,Not base on novel
8053,15000000,12036149,0.484314,6.7,2005,Not base on novel
9721,13000000,0,0.481416,4.3,2005,Not base on novel
12591,0,0,0.479833,4.4,2005,Not base on novel
10092,1000000,10047674,0.466529,5.4,2005,Not base on novel
9763,30000000,27610873,0.463862,6.5,2005,Not base on novel
11804,10000000,91196419,0.463596,5.5,2005,Not base on novel
13020,0,0,0.457465,6.7,2005,Not base on novel
9270,475000,3919254,0.45648,6.8,2005,Not base on novel
12700,30000000,251495,0.453059,4.6,2005,Not base on novel
11400,30000000,30536013,0.449627,6.1,2005,Not base on novel
